Species,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Goniophlebium_amoenum,1,0,0,0,1,1,1,0,0,0,2,2,1,1,1,0,1,2,0,0,1,_,_,1,0
Lemmaphyllum_accedens,0,0,1,0,1,0,1,0,0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,1,2
Lemmaphyllum_carnosum,0,0,0,0,1,0,0,0,0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Lemmaphyllum_pyriforme,0,0,1,0,1,0,1,0,0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Lemmaphyllum_rostratum,0,0,1,0,1,0,1,0,0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Lemmaphyllum_squamatum,0,0,1,0,1,0,1,0,0,1,3,0,0,1,0,0,1,0,0,0,0,2,0,1,1
Lepidomicrosorium_subhemionitideum,1,0,1,0,1,0,1,0,0,0,1,0,2,1,1,0,3,1,0,0,0,3,2,1,2
Lepidomicrosorium_superficiale,1,0,1,0,1,0,0,1,0,0,0,0,2,1,1,0,3,1,0,0,0,_,_,1,0
Lepisorus_affinis,1,1,0,0,1,?,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,?,?,1
Lepisorus_albertii,1,0,1,0,1,0,1,0,1,0,0,0,2,1,0,0,1,0,0,0,0,2,0,1,1
Lepisorus_angustus,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
Lepisorus_annamensis,1,0,1,0,1,1,1,0,0,0,2,0,1,1,0,1,1,0,1,0,0,1,0,?,2
Lepisorus_annuifrons,1,0,1,0,1,1,1,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,1,1,?
Lepisorus_asterolepis,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,?,?,1
Lepisorus_bampsii,1,0,1,1,1,1,0,0,1,0,0,0,2,1,0,0,2,0,0,0,0,?,?,?,?
Lepisorus_bicolor,1,0,1,1,1,1,0,0,1,0,0,0,2,1,0,0,2,0,0,0,0,0,1,1,0
Lepisorus_boninensis,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,?
Lepisorus_clathratus,1,0,1,0,1,0,1,0,1,0,3,0,2,1,1,0,1,0,0,0,0,2,0,1,1
Lepisorus_confluens,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,?,2
Lepisorus_contortus,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0
Lepisorus_elegans,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,?,0
Lepisorus_excavatus,1,0,1,1,1,1,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,1,1,?
Lepisorus_hachijoensis,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,?
Lepisorus_henryi,1,0,1,0,1,1,1,0,0,0,2,0,1,1,0,1,1,0,1,0,0,1,0,?,2
Lepisorus_heterolepis,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,?,0,0,0,0,0,?,?,2
Lepisorus_jakonensis,1,0,1,0,1,0,1,0,1,0,0,0,2,1,0,0,1,0,0,0,0,2,0,1,0
Lepisorus_kawakamii,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,?,0,0,0,0,0,1,?,2
Lepisorus_kuchenensis,1,0,0,0,1,1,0,1,0,0,2,0,1,1,1,0,2,0,0,0,0,0,1,1,0
Lepisorus_lewissi,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,?,0
Lepisorus_likiangensis,1,0,1,0,1,0,1,0,1,0,0,0,2,1,0,0,1,0,0,0,0,2,0,1,1
Lepisorus_lineariformis,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,?,2
Lepisorus_longifolius,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0
Lepisorus_loriformis,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Lepisorus_steniste,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Lepisorus_macrosphaerus,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Lepisorus_marginatus,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,?,?,1
Lepisorus_medogensis,1,0,1,1,0,1,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,1,?,2
Lepisorus_megasorus,1,1,0,0,1,?,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,?,2
Lepisorus_miyoshianus,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,2
Lepisorus_monilisorus,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,?,2
Lepisorus_morrisonensis,1,0,1,1,1,1,0,0,1,0,0,0,2,1,1,0,2,0,0,0,0,0,?,1,0
Lepisorus_mucronatus,1,0,1,0,1,1,1,0,0,0,2,0,1,1,0,1,1,0,1,0,0,1,0,1,2
Lepisorus_nudus,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,?,1,0
Lepisorus_obscurevenolusus,1,0,1,1,0,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,2
Lepisorus_oligolepidus,1,0,1,1,0,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0
Lepisorus_onoei,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,?
Lepisorus_platyrhynchos,1,0,1,0,1,1,1,0,0,0,2,0,1,1,0,1,1,0,1,0,0,1,0,?,2
Lepisorus_pseudonudus,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,?,0
Lepisorus_pseudoussuriensis,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,?,0
Lepisorus_scolopendrium,1,0,1,0,1,1,0,0,1,0,0,0,2,1,1,0,2,0,0,0,0,0,1,1,0
Lepisorus_sinensis,1,0,1,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,?,2
Lepisorus_sordidus,1,0,1,1,0,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,1,?,2
Lepisorus_soulieanus,1,0,1,0,1,0,1,0,1,0,0,0,2,1,0,0,1,0,0,1,0,2,0,1,1
Lepisorus_spicatus,1,0,1,0,1,1,1,0,0,0,2,0,1,1,0,1,1,0,1,0,0,1,0,?,2
Lepisorus_subconfluens,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lepisorus_sublinearis,1,0,1,0,1,1,1,0,0,0,2,0,0,?,0,0,1,0,0,0,0,1,0,?,2
Lepisorus_suboligolepidus,1,0,1,1,0,1,1,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,1,1,2
Lepisorus_subsessilis,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,?,1
Lepisorus_thunbergianus,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
Lepisorus_tibeticus,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,?,0
Lepisorus_tosaensis,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
Lepisorus_uchiyamae,1,0,1,0,1,1,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,2,1,1,?
Lepisorus_ussuriensis,0,0,1,0,1,1,1,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,1,1,0
Lepisorus_ussuriensis_var_distans,0,0,1,0,1,1,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,1,0
Lepisorus_waltonii,1,0,1,0,1,0,1,0,1,0,3,1,2,1,0,0,1,0,0,1,0,2,0,1,1
Leptochilus_ellipticus,1,0,1,0,1,0,1,0,1,0,3,2,1,1,1,0,1,2,1,0,1,_,_,1,1
Microsorum_membranaceum,1,0,0,0,1,0,0,0,1,0,2,0,1,1,1,0,3,1,0,0,1,_,_,1,0
Microsorum_punctatum,1,1,0,0,1,0,1,0,0,0,2,0,1,1,0,0,3,1,0,0,1,_,_,1,0
Neocheiropteris_palmatopedata,1,0,0,0,1,0,1,1,0,0,3,1,1,1,1,0,2,2,0,0,0,0,0,1,1
Neolepisorus_ensatus,1,0,0,0,1,0,1,0,0,0,2,0,1,1,1,0,1,1,0,0,0,0,0,1,3
Neolepisorus_fortunei,1,0,0,0,1,1,1,0,0,0,1,0,2,1,1,0,2,1,0,0,0,3,2,1,0
Neolepisorus_ovatus,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,3,1,0,0,0,0,0,1,3
Neolepisorus_zippelii,1,0,1,0,1,0,1,0,0,0,2,0,2,1,1,0,1,1,0,0,0,3,2,1,3
Thylacopteris_papillosa,1,0,1,0,1,1,1,0,0,0,3,2,1,1,1,0,1,2,0,0,1,_,_,1,?
Tricholepidium_maculosum,1,0,0,0,1,1,1,1,1,0,0,0,2,1,1,0,3,1,0,0,0,0,1,1,2
Tricholepidium_normale,1,0,0,0,1,1,1,1,1,0,0,0,2,1,1,0,3,1,0,0,0,0,1,1,2
