Species,Voucher information (herbarium),rbcL,rbcL-atpB,rps4-trnS,trnL-F,matK,psbZ,rpl32-trnP,trnT
Goniophlebium amoenum,,MH665028,MH665004,MH665091,MH665158,MH665018,_,_,_
Lemmaphyllum carnosum,"China, Z.R. H wxp282 (PE)",GU126698,GU126706,GU126717,GU126728,MN390993,MN391001,MN390976,MN390984
Lemmaphyllum pyriforme,"China, Gansu, R. H. Jiang JRH2242 (PE)",KX891374,KX891388,KX891406,GU126725,MF446966,MF447013,MF447060,MF447107
Lemmaphyllum rostratum,"China, Wei XP et al. wxp124 (PE)",KX891376,KX891390,KX891407,KX891363,MF450477,MN391002,MN390982,MN390985
Lemmaphyllum squamatum,"China, Zhang XC 3925 (PE)",KX891378,KX891392,KX891408,KX891365,_,_,_,_
Lepidomicrosorium subhemionitideum,"China, Zhang XC 7141 (PE)",GU126693,GU126701,GU126712,GU126723,MN390994,MN391003,MN390977,MN390986
Lepidomicrosorium superficiale,"China, Jiangxi, Hong-Mei Liu A370 (PE)",KX891379,KX891394,KX891409,MH113492,MF446968,MF447015,MF447062,MF447109
Lepisorus accedens,"Philippines, 223 (PE)",EU482936,_,EU482986,EU483031,MN390992,MN391000,_,MN390983
Lepisorus affinis,"China, Guangdong, X. C. Zhang 4219 (PE)",GQ256256,GQ256086,GQ256328,GQ256173,MF446969,MF447016,MF447063,MF447110
Lepisorus albertii,"Chinâ€“a, Beijing, C. F. Zhao & S. Qu BJ_3 (PE)",GQ256271,GQ256105,GQ256345,GQ256192,MK485061,MK485574,MK486087,MK486600
Lepisorus angustus,"China, Yunnan, X. C. Zhang et al. 4411 (PE)",GQ256290,GQ256127,GQ256364,GQ256214,MF446970,MF447017,MF447064,MF447111
Lepisorus annamensis,,GQ256252,GQ256079,GQ256324,GQ256166,_,_,_,_
Lepisorus annuifrons,,GQ256258,GQ256089,GQ256331,GQ256176,_,_,_,_
Lepisorus asterolepis,"China, Sichuan, C. F. Zhao L_1 (PE)",GQ256259,GQ256090,GQ256332,GQ256177,MF446971,MF447018,MF447065,MF447112
Lepisorus bampsii,,GQ256260,GQ256091,GQ256333,GQ256178,_,_,_,_
Lepisorus bicolor,"China, Tibet, C. F. Zhao YD021 (PE)",GQ256261,GQ256092,GQ256334,GQ256179,MF446972,MF447019,MF447066,MF447113
Lepisorus boninensis,,GQ256262,GQ256093,GQ256335,GQ256180,_,_,_,_
Lepisorus clathratus (lozi 14),"China, Tibet, Cun-Feng Zhao ML_4 (PE)",GQ256267,GQ256099,GQ256341,GQ256186,MK485131,MK485644,MK486157,MK486670
Lepisorus clathratus (milin4),"China, Tibet, Zhong-Shuai Zhang Lozi_14 (PE)",_,_,_,_,MK485122,MK485635,MK486148,MK486661
Lepisorus confluens,,GQ256264,GQ256095,GQ256337,GQ256182,_,_,_,_
Lepisorus contortus,"China, Sichuan, X. P. Qi 5188 (PE)",GQ256266,GQ256097,GQ256339,GQ256184,MF446976,MF447023,MF447070,MF447117
Lepisorus elegans,,GQ256268,GQ256100,GQ256342,GQ256187,_,_,_,_
Lepisorus excavatus ,,DQ642155,GQ256101,DQ642193,GQ256188,_,_,_,_
Lepisorus hachijoensis,,GQ256269,GQ256103,GQ256343,GQ256190,_,_,_,_
Lepisorus henryi,,GQ256253,GQ256080,GQ256325,GQ256167,_,_,_,_
Lepisorus heterolepis,,GQ256270,GQ256104,GQ256344,GQ256191,_,_,_,_
Lepisorus jakonensis,"China, Tibet, Cun-Feng Zhao LZ8 (PE)",MK806439,MK806440,MK806441,MK806442,MF446981,MF447028,MF447075,MF447122
Lepisorus jakonensis (YD6),"China, Tibet, Cun-Feng Zhao YD6 (PE)",MK486852,MK486941,MK487030,MK487119,_,_,_,_
Lepisorus jakonensis (Q032),"China, Tibet, X. P. Qi Q032 (PE)",MK486848,MK486937,MK487026,MK487115,_,_,_,_
Lepisorus kawakamii,,EU482940,GQ256106,EU482990,GQ256193,_,_,_,_
Lepisorus kuchenensis,,GQ256272,GQ256107,GQ256346,GQ256194,_,_,_,_
Lepisorus lewisii,"China, Guangdong, X. L. Zhou & H. F. Chen 765 (PE)",GQ256273,GQ256108,GQ256347,GQ256195,MF446985,MF447032,MF447079,MF447126
Lepisorus likiangensis,"China, Sichuan, Kham Exp. 10239_166 (PE)",GQ256263,GQ256094,GQ256336,GQ256181,MK484782,MK485295,MK485808,MK486321
Lepisorus lineariformis ,"China, Tibet, X. C. Zhang & L. Wang 4871 (PE)",GQ256276,GQ256111,GQ256350,GQ256198,MF446987,MF447034,MF447081,MF447128
Lepisorus longifolius,"China, Indonesia, R. Wei SLWS_14 (PE)",DQ642157,GQ256113,DQ642195,GQ256200,MF446988,MF447035,MF447082,MF447129
Lepisorus loriformis,"China, Tibet, X. C. Zhang 5247 (PE)",GQ256278,GQ256114,_,GQ256201,MF446990,MF447037,MF447084,MF447131
Lepisorus macrosphaerus,"China, Tibet, C. F. Zhao 026_1 (PE)",GQ256280,GQ256116,GQ256354,GQ256203,MF446991,MF447038,MF447085,MF447132
Lepisorus marginatus,"China, Shaanxi, W. L. Chen 5325 (PE)",GQ256281,GQ256117,GQ256355,GQ256204,MF446992,MF447039,MF447086,MF447133
Lepisorus medogensis,,GQ256282,GQ256118,GQ256356,GQ256205,_,_,_,_
Lepisorus megasorus,,DQ642158,GQ256119,DQ642196,GQ256206,_,_,_,_
Lepisorus miyoshianus,,GQ256255,GQ256085,GQ256327,GQ256172,_,_,_,_
Lepisorus monilisorus,"China, Taiwan, Y. H. Chang 4348 (PE)",GQ256283,GQ256120,GQ256357,GQ256207,MF446993,MF447040,MF447087,MF447134
Lepisorus morrisonensis,"China, Sichuan, C. F. Zhao MNG_3 (PE)",GQ256284,GQ256081,GQ256358,GQ256208,MF446994,MF447041,MF447088,MF447135
Lepisorus mucronatus,,AY362562,_,AY362629,GQ256168,_,_,_,_
Lepisorus nudus,"China, India, X. C. Zhang et al. 2754 (PE)",_,_,_,_,MF446995,MF447042,MF447089,MF447136
Lepisorus obscurevenolusus,,GQ256286,GQ256123,GQ256360,GQ256210,_,_,_,_
Lepisorus oligolepidus,"China, Sichuan, X. C. Zhang 4235 (PE)",GQ256287,GQ256124,GQ256361,GQ256211,MF446996,MF447043,MF447090,MF447137
Lepisorus onoei,,GQ256288,GQ256125,GQ256362,GQ256212,_,_,_,_
Lepisorus platyrhynchos,,DQ642152,GQ256082,DQ642190,GQ256169,_,_,_,_
Lepisorus pseudonudus,"China, Tibet, X. C. Zhang 5261 (PE)",GQ256291,GQ256128,GQ256365,GQ256215,MF446997,MF447044,MF447091,MF447138
Lepisorus pseudoussuriensis,,EU482943,_,EU482993,GQ256216,_,_,_,_
Lepisorus scolopendrium,"China, Tibet, C. F. Zhao 037_1 (PE)",GQ256293,GQ256133,GQ256369,GQ256220,MF446998,MF447045,MF447092,MF447139
Lepisorus sinensis,"China, Yunnan, X. P. Qi & L. Wang 5221 (PE)",GQ256296,GQ256134,GQ256370,GQ256221,MF446999,MF447046,MF447093,MF447140
Lepisorus sordidus,"China, Yunnan, X. C. Zhang 2970 (PE)",GQ256297,GQ256135,GQ256371,GQ256222,MF447000,MF447047,MF447094,MF447141
Lepisorus soulieanus,"China, Sichuan, Y. D. Wu Wu_3 (PE)",GQ256321,GQ256163,GQ256399,GQ256249,MK485205,MK485718,MK486231,MK486744
Lepisorus spicatus,"China, Indonesia, Arief et al. 386 (PE)",EF463244,GQ256083,DQ642191,GQ256170,MF446965,MF447012,MF447059,MF447106
Lepisorus steniste,"China, Yunnan, X. C. Zhang 4514 (PE)",GQ256279,GQ256115,GQ256353,GQ256202,MF446989,MF447036,MF447083,MF447130
Lepisorus subconfluens,"China, Yunnan, X. C. Zhang 4518 (PE)",GQ256299,GQ256137,GQ256373,GQ256224,MF447001,MF447048,MF447095,MF447142
Lepisorus sublinearis,"China, Yunnan, Y. M. Shui et al. 80565 (PE)",GQ256301,GQ256138,GQ256375,GQ256226,MF447002,MF447049,MF447096,MF447143
Lepisorus suboligolepidus,"China, Yunnan, X. P. Qi Q005 (PE)",_,GQ256140,GQ256376,GQ256227,MF447003,MF447050,MF447097,MF447144
Lepisorus subsessilis,,_,GQ256141,GQ256377,GQ256228,_,_,_,_
Lepisorus thunbergianus,"China, Korea, X. C. Zhang 6976 (PE)",GQ256304,GQ256144,GQ256380,GQ256231,MF447004,MF447051,MF447098,MF447145
Lepisorus tibeticus,"China, Sichuan, C. F. Zhao MNG_1 (PE)",GQ256307,GQ256147,GQ256383,GQ256234,MF447005,MF447052,MF447099,MF447146
Lepisorus tosaensis,"China, Yunnan, X. C. Zhang 2946 (PE)",GQ256309,GQ256149,GQ256385,GQ256236,MF447006,MF447053,MF447100,MF447147
Lepisorus uchiyamae,,GQ256310,GQ256150,GQ256386,GQ256237,_,_,_,_
Lepisorus ussuriensis,"China, Jilin, Q. P. Xiang 7321 (PE)",_,GQ256151,GQ256387,GQ256238,MF447007,MF447054,MF447101,MF447148
Lepisorus ussuriensis var. Distans,,_,GQ256152,GQ256388,GQ256239,_,_,_,_
Lepisorus waltonii,"China, Tibet, Cun-Feng Zhao GB_30 (PE)",GQ256322,GQ256164,GQ256400,GQ256250,MK485098,MK485611,MK486124,MK486637
Leptochilus ellipticus,"China, Zhang XC 7183 (PE)",EU482949,MH768387,MH665101,MH768572,MN390995,MN391006,MN390979,MN390989
Microsorum membranaceum,"China, Zhang XC 7357 (PE)",EU482962,KX891393,AY725047,EU483059,MN390998,MN391007,MN390980,MN390990
Microsorum punctatum,"China, Zhang XC 8558 (PE)",GQ256316,GQ256158,GQ256394,GQ256244,MN390999,MN391008,MN390981,MN390991
Neocheiropteris palmatopedata,,GQ256318,GQ256160,GQ256396,GQ256246,MH113617,_,_,_
Neolepisorus ensatus,,MH051184,GQ256161,GQ256397,GQ256247,MH113616,_,_,_
Neolepisorus fortunei,"China, Zhang XC 7164 (PE)",MH051186,MH113585,MH113485,MH113518,MN390996,MN391004,MN390978,MN390987
Neolepisorus ovatus,"China, Anonymous 80898 (PE)",EU482972,_,_,_,MF447010,MF447057,MF447104,MF447151
Neolepisorus zippelii,,MH051188,MH175523,MH113487,MH113520,MH113620,_,_,_
Thylacopteris papillosa,"Indonesia, Arief et al. 345 (PE)",AY459175,EF463518,AY459188,MH665220,MN390997,MN391005,_,MN390988
Tricholepidium maculosum,,GQ256323,GQ256165,GQ256401,GQ256251,_,_,_,_
Tricholepidium normale,"China, Yunnan, X. C. Zhang 8100 (PE)",EU482975,KX891397,MH665157,MH113523,MF447011,MF447058,MF447105,MF447152
